ticker,date,ev,evebit,evebitda,marketcap,pb,pe,ps
FELE,2/16/2024,4732.8,18.4,14.5,4625.7,3.9,23.8,2.2
FEMY,2/16/2024,21.3,-1.7,-1.8,27.1,2.6,-2.1,24.8
FENC,2/16/2024,252.3,-14.8,-14.8,240,-22.8,-11.9,18.4
FENG,2/16/2024,-113.7,12.3,6.3,17.3,0.1,-1.8,0.2
FERG,2/16/2024,45012.4,17.6,15.7,40492.4,7.6,22.3,1.4
FET,2/16/2024,359.5,24.7,7.3,204.5,0.5,-13.7,0.3
FEXD,2/16/2024,75.4,29.9,29.9,74.7,-11,42,
FF,2/16/2024,50.1,1.8,1.3,256,0.9,8.8,0.6
FFBC,2/16/2024,2761.2,8.5,7.6,2119.3,1,7.9,2.6
FFIC,2/16/2024,1238,30.3,26.1,394.8,0.6,12.8,2.1
FFIE,2/16/2024,69,-0.1,-0.1,5.4,0,0,9.8
FFIN,2/16/2024,4905.7,19,18.1,4542.4,3.7,21.5,9.3
FFIV,2/16/2024,10135.7,18,14.2,10723.3,3.7,23.3,3.8
FFNW,2/16/2024,267.2,25.7,21.5,192.1,1.2,23,4.1
FFWM,2/16/2024,800.3,-4.5,-4.6,461.1,0.5,-2.5,1.7
FG,2/16/2024,5420.4,22.5,10.4,5593.4,2.4,39.7,1.6
FGBI,2/16/2024,270.6,16.2,13,128.9,0.5,12,1.4
FGEN,2/16/2024,297.2,-1.1,-1.1,215.4,-1.4,-0.7,1.4
FGF,2/16/2024,8.6,2.1,2.1,14.1,0.3,5.9,0.6
FGH,2/16/2024,33.8,-3.2,-4.7,25.6,0.7,-2.3,0.5
FGI,2/16/2024,34.2,16.3,15.1,16.2,0.7,18,0.1
FHB,2/16/2024,2046.8,5.9,5.2,2760.2,1.2,10.3,3.4
FHI,2/16/2024,3115.4,8.3,7.7,3032.7,2.8,11.1,1.9
FHLT,2/16/2024,70.2,69.9,69.9,70.5,-7.1,74.2,
FHN,2/16/2024,8064.7,6.4,5.3,7755.7,0.9,8.2,2.4
FHTX,2/16/2024,250.4,-2.5,-2.7,275.3,-4.8,-2.7,8.5
FI,2/16/2024,110808.5,24.2,14.4,88851.5,3,29.8,4.7
FIAC,2/16/2024,127.4,52.4,52.4,126.6,-14.9,117.3,
FIBK,2/16/2024,5408.7,14.8,12.9,2761.4,0.9,9.8,2.7
FICO,2/16/2024,33674.9,50.8,48.7,31861.8,-43.9,70.4,20.5
FICV,2/16/2024,82.5,16.7,16.7,82.5,-7,16.7,
FIGS,2/16/2024,897.7,33.4,27.6,1060.5,3,66.2,1.9
FIHL,2/16/2024,1189.3,11.2,10.8,1571.8,0.7,29.9,1
FINV,2/16/2024,285.7,0.7,0.7,1367.7,0.7,4.1,0.8
FINW,2/16/2024,10.4,0.4,0.3,130.4,0.9,6.6,2
FIP,2/16/2024,1746.6,-44,44.6,437.8,0.8,-2.2,1.4
FIS,2/16/2024,55901.6,-2.4,-2.8,37711.6,1.9,-1.6,2.8
FISI,2/16/2024,298.5,4.8,4.2,296.2,0.7,5.8,1.5
FITB,2/16/2024,41378.9,12.7,11.1,23106.9,1.4,9.6,2.8
FIVE,2/16/2024,12010.8,34.7,25.6,10487.2,7.6,38.8,3.1
