ticker,date,ev,evebit,evebitda,marketcap,pb,pe,ps
CLBR,2/16/2024,132.1,,,132.1,11008.3,,
A,2/16/2024,40653.7,28.3,23.8,39508.7,6.8,31.9,5.8
AA,2/16/2024,5774.1,-10.1,131.2,4890.1,1.1,-5.5,0.5
AACG,2/16/2024,41.3,-6.8,-8.9,46.2,3.3,-8.4,1.6
AACT,2/16/2024,660.2,-165050,-165050,657.5,-33.2,-164375,
AADI,2/16/2024,-20.8,0.3,0.3,46.6,0.4,-0.7,2
AAGR,2/16/2024,53.6,-1.4,-1.4,46.4,-6.8,-1.2,28.2
AAL,2/16/2024,49270.8,11.6,7.5,9567.8,-1.9,6,0.2
AAMC,2/16/2024,15.1,-0.7,-0.8,12.4,-0.1,-0.5,2.2
AAME,2/16/2024,62.2,8.9,8.1,49.4,0.5,18.3,0.3
AAN,2/16/2024,964,61.6,1.4,318.8,0.5,34.2,0.1
AAOI,2/16/2024,858.9,-15.8,-25.8,758.4,4.3,-12.1,3.5
AAON,2/16/2024,6904.8,32.8,27.2,6848.9,10,40.4,6.1
AAP,2/16/2024,7515.4,23.2,12,3837.3,1.4,20.6,0.3
AAPL,2/16/2024,2882489.3,23.8,21.7,2815209.3,38,27.9,7.3
AAT,2/16/2024,2933,25.5,12.5,1326.3,1.1,26.3,3
AAU,2/16/2024,18.5,-2.6,-2.6,18.5,0.4,-2.2,
AB,2/16/2024,3731.8,12.4,12.4,3731.8,1.8,14.1,12.4
ABAT,2/16/2024,112.9,-3.9,-3.9,104.3,1.6,-3.6,
ABBV,2/16/2024,360824.2,36.9,19.4,313365.2,25.9,48.1,5.7
ABCB,2/16/2024,3068,8.3,7.3,3274.4,1,11.5,3.5
ABCL,2/16/2024,1427.3,-9.3,-12.3,1549.5,1.3,-12,30.7
ABEO,2/16/2024,174.3,-4.6,-5,173.7,7.9,-4.5,48.7
ABEV,2/16/2024,38011.4,9,7.1,40163.1,2.5,14.3,2.6
ABG,2/16/2024,7939.8,5.9,5.6,4463,1.4,5,0.3
ABIO,2/16/2024,-13,2.4,2.5,24.2,0.7,-4.5,
ABL,2/16/2024,861.5,16.5,16,779.2,4.7,17.1,11.7
ABLV,2/16/2024,113.1,6.3,10.6,107.1,13.4,8.2,0.5
ABM,2/16/2024,3924,9.5,7.3,2550.9,1.4,10.2,0.3
ABNB,2/16/2024,92973.3,32.7,32.2,98893.3,10.8,18.1,10.3
ABOS,2/16/2024,94.8,-1.9,-2,189.9,0.7,-3.9,
ABR,2/16/2024,13592.4,34.7,29.3,2637.1,0.8,8.1,3.6
ABSI,2/16/2024,427.4,-4,-4.7,495.4,2.5,-4.7,71.4
ABT,2/16/2024,206747,30.3,20.6,197928,5.3,38.3,5
ABTS,2/16/2024,32.8,-1.4,-2.2,34.3,1.7,-1.4,261.8
ABUS,2/16/2024,470.7,-6.3,-6.4,486.3,4.1,-6.4,21.9
ABVC,2/16/2024,11.5,-1.2,-1.2,9.2,1,-0.7,12.4
ABVX,2/16/2024,698.5,-12.4,-12.5,759.5,9,-11.9,
AC,2/16/2024,337.8,8.1,8,714,0.8,20.5,49
ACA,2/16/2024,4397.6,11.3,8.1,4042.7,1.7,14.1,1.8
ACAB,2/16/2024,114.7,19,19,115.6,-7.7,27,
ACAC,2/16/2024,61.3,40,40,60.2,-14.3,62.6,
ACAD,2/16/2024,4066.7,-30.9,-32,4122.6,11.4,-27.7,6.5
ACAH,2/16/2024,127.4,10.3,10.3,128.9,-6.1,11.8,
ACB,2/16/2024,111.1,-1.2,-1.7,187,0.5,-1.7,0.9
ACBA,2/16/2024,43.8,1990.9,1990.9,41.3,-6.5,1877.3,
ACCD,2/16/2024,968.5,-7.6,-11.8,956.8,2.2,-7.8,2.5
ACCO,2/16/2024,1598.7,10.9,7.1,617,0.7,10.9,0.3
ACDC,2/16/2024,2340.6,13.2,3.9,1209.8,1,46.5,0.4
ACEL,2/16/2024,1164.9,12.1,7.6,882.8,4.4,20.5,0.8
ACET,2/16/2024,-34.6,0.2,0.3,126.9,0.7,-0.9,
ACGL,2/16/2024,34000.8,10.1,9.8,32133.8,2.1,11,2.5
ACHC,2/16/2024,9051.8,156.6,49,7643.8,2.8,-418.3,2.7
ACHL,2/16/2024,-89.6,1.2,1.3,43.2,0.3,-0.6,
ACHR,2/16/2024,1126.1,-2.5,-2.6,1576.1,4.3,-3.5,
ACHV,2/16/2024,87.8,-2.7,-2.7,91.4,22.6,-2.6,
ACI,2/16/2024,26931.2,12.8,5.9,12430.9,4.9,9.2,0.2
ACIC,2/16/2024,598.1,35.1,21.6,579,4.8,-506.6,1.7
ACIU,2/16/2024,226.4,-3,-3.1,259.2,1.9,-3.4,259200
ACIW,2/16/2024,4301.5,21.4,12.7,3350.8,2.8,37.6,2.3
ACLS,2/16/2024,3727.4,14.2,13.6,3824.2,4.8,16.5,3.5
ACLX,2/16/2024,2966.5,-23.8,-28.6,2988.8,11.2,-23.1,63.4
ACM,2/16/2024,13664.7,48.3,29.8,12131.9,5.4,196.2,0.8
ACMR,2/16/2024,1066.6,12.1,10.9,1186.7,1.6,16.6,2.4
ACN,2/16/2024,242319.7,26.7,21.3,246380.3,9.2,35.8,3.8
ACNB,2/16/2024,413.9,8.6,8,321.8,1.3,8.5,2.8
ACNT,2/16/2024,188.6,-4.3,-5.5,102.8,1.1,-2.7,0.4
ACON,2/16/2024,1.6,-0.4,-0.4,1,-1.2,-0.2,11.9
ACOR,2/16/2024,170.9,13.7,3.9,18.4,0.3,-1.2,0.2
ACR,2/16/2024,1767.7,131.5,99.1,85.1,0.2,-13.8,0.9
ACRE,2/16/2024,2040.6,541.4,513.4,458,0.7,132.5,4.3
ACRS,2/16/2024,45.6,-0.4,-0.4,84.3,0.5,-0.7,3.9
ACRV,2/16/2024,61.6,-1.2,-1.3,87.4,0.6,-1.7,
ACST,2/16/2024,12.5,-0.3,-0.3,31,0.5,-0.8,
ACT,2/16/2024,4409.1,5,5,4342.3,1,6.7,3.8
ACTG,2/16/2024,75.3,-3.1,-6.9,418.5,0.8,-11.2,9.1
ACU,2/16/2024,217.7,19.5,13.5,177.8,2.1,29.7,0.9
ACVA,2/16/2024,2185.8,-29.1,-36.6,2307,4.9,-30.1,5
ACXP,2/16/2024,37.3,-2.9,-2.9,44.4,11.3,-3.5,
ADAG,2/16/2024,28,-0.8,-0.4,131.5,1.6,-3.6,5.8
ADAP,2/16/2024,205.1,-2.2,-2.4,272.6,3.1,-2.9,3.8
ADBE,2/16/2024,244029.3,35.3,31.1,247090.3,15,45.5,12.7
ADC,2/16/2024,8129,32,18.9,5732.6,1.1,35.3,10.7
ADCT,2/16/2024,248.2,-1.8,-1.9,435.1,-8,-2.4,3.5
ADD,2/16/2024,5.4,-0.1,-0.2,5.6,0.2,-0.1,
ADEA,2/16/2024,1863.9,12.3,7.5,1298.9,3.8,10.1,3.2
ADI,2/16/2024,99407,25.7,16.1,93416.3,2.6,28.2,7.6
ADIL,2/16/2024,1.1,-0.2,-0.2,1.4,0.6,-0.2,
ADM,2/16/2024,36617.9,6.8,5.7,28615.9,1.1,7.3,0.3
ADMA,2/16/2024,1262,732.4,127.7,1193.1,7.9,-52.3,5.1
ADN,2/16/2024,15.8,-0.2,-0.2,10.4,0.3,-0.1,2
ADNT,2/16/2024,4705,11.8,6.3,3148,1.4,14.8,0.2
ADOC,2/16/2024,46.5,-23.7,-23.7,43,-6.9,-21.5,
ADP,2/16/2024,105615,21.3,19.2,103917.7,24.1,29.2,5.6
ADPT,2/16/2024,697,-3.8,-4.6,557.4,1.5,-2.8,3.1
ADRT,2/16/2024,35.9,16.1,16.1,35.7,-6.9,23.2,
ADSE,2/16/2024,454.2,-15,-35.7,453.6,8.2,-10.7,7.8
ADSK,2/16/2024,56376.3,51.7,45.9,55254.3,37.3,60.3,10.3
ADT,2/16/2024,15607.6,30.6,7.9,6296,1.9,166.2,1
ADTH,2/16/2024,182.8,27.6,12,250.6,1.6,40.2,1.5
ADTN,2/16/2024,627.3,-3.5,-10.9,509.2,0.7,-5,0.4
ADTX,2/16/2024,6.2,-0.2,-0.2,1.7,-0.4,-0.1,2.3
ADUS,2/16/2024,1666.2,19.6,16.9,1529,2.2,26.5,1.5
ADV,2/16/2024,3022.8,-2,-2.4,1286,1.2,-0.9,0.3
ADVM,2/16/2024,162.3,-1.3,-1.5,205.1,2,-1.6,57
ADXN,2/16/2024,1.5,-0.1,-0.1,6.5,1.5,-0.5,2.8
AE,2/16/2024,93.6,-22.8,3.9,60.6,0.6,-9.8,0
AEAE,2/16/2024,82.1,13.1,13.1,81.5,-6.4,15.7,
AEE,2/16/2024,34287.3,18.3,10.2,18277.3,1.7,15.8,2.3
AEG,2/16/2024,15221.1,-8.8,-31,12094.5,0.8,-7.9,-1.1
AEHL,2/16/2024,4.9,3.7,3.6,4,0.3,2.8,0.1
AEHR,2/16/2024,466.2,23.1,22,510.3,5.9,24.3,6.3
AEI,2/16/2024,-17.7,0.5,0.5,9.6,0.1,-0.2,0.4
AEIS,2/16/2024,3897.9,24.7,17.4,3856.7,3.5,28.7,2.2
AEL,2/16/2024,-4956.2,-5.6,-5.6,4366.1,2.1,7.1,1.8
AEM,2/16/2024,25464.2,8.3,5.7,23711.8,1.2,9.4,3.8
AEMD,2/16/2024,-3,0.2,0.3,4.4,0.6,-0.4,7.7
AENT,2/16/2024,326.8,44.5,23.6,210.8,2.4,-30.4,0.2
AEO,2/16/2024,5372.3,18.1,10.1,4391.3,2.5,20.1,0.9
AEON,2/16/2024,351.4,-9.3,-9.3,367.5,-3,-9.8,
AEP,2/16/2024,85224.7,21.2,12,42780,1.7,19,2.2
AER,2/16/2024,61375.3,13.6,8.8,16489.2,1,6.5,2.2
AERT,2/16/2024,75.9,-19.5,-31.7,75.3,-7.4,-13.7,1.1
AES,2/16/2024,36490.7,37.7,17.7,11229.7,4,-20.1,0.9
AESI,2/16/2024,1705.5,7.3,6.5,1797.5,-23.7,8.3,3.7
AEVA,2/16/2024,200.9,-1.4,-1.4,236.9,1,-1.6,82
AEYE,2/16/2024,68.9,-9.3,-14.3,71.3,9.2,-9.8,2.3
AEZS,2/16/2024,-29.6,1.3,1.3,8.9,0.3,-0.4,1.3
AFBI,2/16/2024,63.3,7.3,6.4,104.8,0.9,15.8,3.5
AFCG,2/16/2024,254.3,7.3,7.3,239.6,0.7,7.2,3.5
AFG,2/16/2024,10594.5,9.1,8.5,10341.5,2.6,12,1.3
AFIB,2/16/2024,13.6,-0.5,-0.6,5.8,0.2,-0.2,0.3
AFL,2/16/2024,47847.1,8.4,8.4,46388.1,2,10.1,2.5
AFMD,2/16/2024,45.7,-0.4,-0.4,90.1,1.1,-0.7,4.5
AFRI,2/16/2024,463.4,-55.6,-234.6,281.7,10.4,-14.4,1
AFRM,2/16/2024,16454.1,-21.9,-27.7,11704.2,4.4,-15.6,6.1
AFYA,2/16/2024,2240.9,13.2,10.1,1838.8,2.6,25.9,3.4
AG,2/16/2024,1422.4,-7.2,-21.2,1305.5,1,-8.1,2.2
AGAE,2/16/2024,31.1,-6.2,-9.7,39.8,0.5,-9.4,5.9
AGBA,2/16/2024,34.3,-0.6,-0.6,32.6,-11.1,-0.6,0.6
AGCO,2/16/2024,9658.9,6.2,5.2,8185.9,1.9,7.1,0.6
AGE,2/16/2024,16.6,-2,-2.1,14.8,-0.5,-1.1,157.4
AGEN,2/16/2024,222.4,-1.1,-1.2,249.9,-1.9,-0.9,2.5
AGFY,2/16/2024,23.7,-0.3,-0.3,1,0,0,0.1
AGI,2/16/2024,4417.6,14.7,9.1,4633.5,1.6,22.8,4.6
AGIO,2/16/2024,1473.5,-4.2,-4.4,1489.7,1.8,-4.2,55.5
AGL,2/16/2024,2748.2,-33.9,-44.2,2887,3.3,-32.6,0.7
AGM,2/16/2024,27680.8,111.7,111.7,2005.6,1.4,11.9,5.9
AGMH,2/16/2024,45.4,2.6,2.5,49,1.1,3.8,0.3
AGNC,2/16/2024,65689.1,154.6,154.6,6362.1,0.9,34.8,16.5
AGO,2/16/2024,6372.8,9.9,9.9,4787.8,0.9,10.5,3.6
AGR,2/16/2024,23302.6,25.8,11.4,12233.6,0.6,22.8,1.5
AGRI,2/16/2024,5.8,-0.6,-0.6,0.3,0,0,
AGRO,2/16/2024,2172.6,6.1,3.4,1057.8,0.8,7.2,0.8
AGRX,2/16/2024,2.3,0.2,0.2,3,-0.2,0.4,0.2
AGS,2/16/2024,877.4,15.3,6.6,357.3,5.7,123.1,1
AGTI,2/16/2024,2205.4,33.3,9.2,1069.3,1.1,-103.4,0.9
AGX,2/16/2024,440.9,10.4,9.4,626.5,2.2,18.4,1.2
AGYS,2/16/2024,2068.5,102.5,82.2,2160.6,9.4,25.2,9.5
AHCO,2/16/2024,3268.2,-10,29.1,1021.6,0.6,-2.4,0.3
AHG,2/16/2024,24.9,-4.4,-18.6,33.8,6.5,-6,15.3
AHH,2/16/2024,2180.8,24.7,14.5,769,1.2,32.5,1.2
AHR,2/16/2024,3604.1,54.6,11.7,918.6,0.7,-10,0.5
AHT,2/16/2024,3421.7,24.9,10.4,55.9,-0.2,-0.3,0
AI,2/16/2024,3294.7,-12.6,-13.4,3443.7,3.8,-13.1,12.1
AIB,2/16/2024,42.7,422.8,422.8,41.8,-9.3,413.9,
AIG,2/16/2024,67926,14.3,7.6,47694,1.1,13.2,1
AIH,2/16/2024,46,-3.5,-4.4,14.5,2.3,-1.3,0.2
AIHS,2/16/2024,7.7,-2.1,-3.7,7.5,3.3,-2,1
AIM,2/16/2024,4,-0.2,-0.2,18.5,0.8,-0.9,95.9
AIMD,2/16/2024,6.3,-0.6,-1.3,3.4,0.1,-0.3,3
AIN,2/16/2024,3249.7,19.3,13.5,2930.6,3.2,29.7,2.7
AINC,2/16/2024,94.2,6.1,1.8,7.4,0,-0.2,0
AIP,2/16/2024,259.5,-7.2,-7.8,273.5,12.4,-8.2,5.2
AIR,2/16/2024,2696.1,25.6,19.7,2423.4,2.1,35.5,1.1
AIRC,2/16/2024,7683.9,10,6.9,4591,2,7.2,5.6
AIRE,2/16/2024,60.6,-19.6,-11.8,60.9,4.4,-18.8,138.7
AIRG,2/16/2024,33.6,-3.3,-5.2,41.8,1.2,-4.1,0.6
AIRI,2/16/2024,37.9,-28.4,22,14.7,1,-4.6,0.3
AIRS,2/16/2024,498.9,235.7,42.2,406.7,4.8,-57.3,2.2
AIRT,2/16/2024,152.4,-29.1,-77.3,44,6.4,-3.1,0.2
AISP,2/16/2024,42.2,-2.7,-3,38.5,-3.1,-2.5,1.7
AIT,2/16/2024,7494.3,15.1,13.7,7310.1,4.5,19.5,1.6
AITR,2/16/2024,82.1,,,81.9,3900,,
AIU,2/16/2024,56,0.1,0.1,73.9,15.4,0.1,2.3
AIV,2/16/2024,2238.5,-11.3,-17,1116.5,2.2,-5.2,6.2
AIXI,2/16/2024,169,-9.6,-88.9,156.3,42.2,-6.2,2.5
AIZ,2/16/2024,9482.8,10.4,8.5,9029.6,1.9,14.1,0.8
AJG,2/16/2024,59208.6,39.9,27.1,51862.9,4.8,53.5,5.1
AJX,2/16/2024,1093.1,-36.4,-36.4,130.2,0.4,-4,235
AKA,2/16/2024,238.2,-0.9,-1,111.8,0.7,-0.4,0.2
AKAM,2/16/2024,20511.5,32.1,16.9,16469.3,3.8,29.2,4.4
AKAN,2/16/2024,5.9,-0.4,-0.6,1.2,0.1,-0.1,0.3
AKBA,2/16/2024,279.5,-5.1,-14.7,273.2,-6.9,-4.5,1.4
AKLI,2/16/2024,-37.9,0.6,0.6,18.8,0.3,-0.3,18.1
AKO.B,2/16/2024,3553.2,9.9,9.9,2335.3,2.2,15,0.7
AKRO,2/16/2024,920,-7.9,-7.9,1163.8,2,-9.7,
AKTS,2/16/2024,108.2,-1.6,-1.9,76.9,1.4,-1.1,2.6
AKTX,2/16/2024,4.1,-0.4,-0.4,11.3,4.1,-1.1,
AKYA,2/16/2024,288.6,-4.6,-5.3,292.5,4.7,-4.1,3.2
AL,2/16/2024,23278.1,15.9,9.2,4559.9,0.6,8,1.7
ALAR,2/16/2024,35.4,-3.6,-3.1,41,3.7,-4.1,1.7
ALB,2/16/2024,17669.3,8.3,6.9,14392.4,1.5,9.1,1.5
ALBT,2/16/2024,12,-1.5,-1.5,4.2,0.2,-0.5,3.4
ALC,2/16/2024,42301.7,51.9,21.2,38242.7,1.9,85,4.1
ALCC,2/16/2024,456.5,26.1,26.1,458.2,-27.4,37.9,
ALCE,2/16/2024,238.9,-20.6,959.4,43.2,-1.5,-1.2,1
ALCO,2/16/2024,285.2,4,3.3,221.8,0.8,4.6,5.1
ALCY,2/16/2024,157.4,81.4,81.4,157.8,-30.7,81.6,
ALDX,2/16/2024,84,-1.9,-1.9,211.2,1.7,-4.6,
ALE,2/16/2024,5039.8,15,8.6,3368.2,1.2,13.6,1.8
ALEC,2/16/2024,472.6,-3.4,-3.7,535.9,3.3,-3.8,5.6
ALEX,2/16/2024,1756.1,-108.4,107.7,1258.5,1.2,-32.8,5.5
ALG,2/16/2024,2820.9,14.3,11.5,2610.5,2.9,19.5,1.6
ALGM,2/16/2024,6068.4,24.1,19.3,6015.9,5.3,27.1,5.6
ALGN,2/16/2024,22507.9,38.6,29.7,23648.4,6.2,65.2,6.2
ALGS,2/16/2024,-10,0.1,0.1,48.7,0.9,-0.6,3
ALGT,2/16/2024,3581,9.5,6,1493.3,1.1,8.7,0.6
ALHC,2/16/2024,1034.9,-7.6,-9.1,1255.6,6.7,-8,0.7
ALIM,2/16/2024,235.4,-18.1,-35.7,179.3,3.7,-8.4,2.6
ALIT,2/16/2024,7816.5,-260.6,19.2,5291.5,1.2,-21.3,1.6
ALK,2/16/2024,8266.4,18.6,9.2,4729.4,1.1,20.1,0.5
ALKS,2/16/2024,5107.5,21.3,16.2,5370.2,4,25,3.4
ALKT,2/16/2024,2512,-52,-66.3,2486.1,7.7,-45.1,10
ALL,2/16/2024,49421.7,-22.5,-33.9,42335.7,2.9,-20.3,0.8
ALLE,2/16/2024,13278.2,18.6,16.1,11624.8,9.4,20.9,3.2
ALLG,2/16/2024,642.4,-6.3,-1.9,264.9,-4.9,-2,1.5
ALLK,2/16/2024,77.8,-0.4,-0.5,109.3,0.5,-0.7,
ALLO,2/16/2024,816.6,-2.5,-2.6,806,1.4,-2.4,4333.3
ALLR,2/16/2024,1.6,-0.1,-0.1,1.8,-0.5,-0.1,
ALLT,2/16/2024,100.8,-1.6,-1.8,73.1,1.5,-1.2,0.8
ALLY,2/16/2024,24843.7,18.4,9.5,10852.7,0.8,9.8,1.3
ALNT,2/16/2024,680.9,15.8,10,460.1,1.9,19.6,0.8
ALNY,2/16/2024,19006.7,-60.9,-88.3,18514,-83.9,-42.1,10.1
ALOT,2/16/2024,153.4,22,13.4,130.1,1.5,38.9,0.9
ALPN,2/16/2024,1807.3,-32.1,-32.4,1816.1,11.2,-31.9,59
ALPP,2/16/2024,66.3,-3.6,-5.8,17.1,0.3,-0.8,0.2
ALRM,2/16/2024,3335.6,41.2,27,3487.1,5.2,51.4,4
ALRN,2/16/2024,9.2,-0.7,-0.7,21.3,1.9,-1.6,
ALRS,2/16/2024,968.1,20.1,16.5,452.1,1.3,12.1,2.3
ALSA,2/16/2024,142.6,31,31,137.9,-17.1,29.9,
ALSN,2/16/2024,8102.7,8.7,7.4,6154.7,5,9.1,2
ALT,2/16/2024,383.8,-4.9,-4.8,470.7,3.1,-6,1687.1
ALTG,2/16/2024,1516.7,27.6,8.3,394.9,2.7,55.6,0.2
ALTI,2/16/2024,845,-8.3,-9.4,654.8,1.7,-7,3.6
ALTM,2/16/2024,4820.6,6.3,6.3,5314.5,1.6,12,4.4
ALTO,2/16/2024,239.8,-7.1,-22.7,167.5,0.6,-3.9,0.1
ALTR,2/16/2024,7296.2,6344.5,174.4,7387.9,11.7,-446.8,12.3
ALTU,2/16/2024,91.2,-23.4,-23.4,91.1,-4.1,-22.9,
ALUR,2/16/2024,151.3,-1.3,-1.3,133.5,-2.5,-1,1.2
ALV,2/16/2024,10934.9,15.8,10.3,9380.9,3.8,22.5,0.9
ALVO,2/16/2024,5155.2,-11.2,-11.8,4208.5,-6.4,-7.1,66
ALVR,2/16/2024,16.2,-0.1,-0.1,79.8,0.4,-0.5,
ALX,2/16/2024,1685,10.5,8.6,1145.4,4.8,11.2,5.1
ALXO,2/16/2024,779.6,-5.4,-5.4,789.6,4.7,-5.4,
ALZN,2/16/2024,5.9,-0.4,-0.4,6.1,-2.3,-0.4,
AM,2/16/2024,9166.6,12.8,10.7,5953.5,2.8,16,5.7
AMAL,2/16/2024,926.6,7.7,7.4,728.8,1.3,8.1,2.7
AMAM,2/16/2024,1538.3,-25.9,-28,1753.7,7.2,-29.4,311.1
AMAT,2/16/2024,165285.1,20.8,19.5,165856.1,10.1,24.2,6.3
AMBA,2/16/2024,2009.3,-15.4,-18.8,2147.2,3.6,-17.9,8.3
AMBC,2/16/2024,3609.3,13.1,11.6,707.3,0.6,3.6,1.7
AMBI,2/16/2024,641.6,11.8,7.6,360.3,1.5,93.1,0.8
AMBO,2/16/2024,11.1,-0.8,-1,7.8,1,-0.5,0.5
AMBP,2/16/2024,5777.8,45.5,32.8,2276.8,9.7,162.6,0.5
AMC,2/16/2024,9522.9,-74.3,37.5,958.1,-0.4,-1.9,0.2
AMCR,2/16/2024,20199.9,17.8,11.6,13065.9,3.3,20.3,0.9
AMCX,2/16/2024,2492.3,5.4,1.7,580.2,0.6,2.7,0.2
AMD,2/16/2024,280006.9,456,67.2,280936.9,5,329,12.4
AME,2/16/2024,41452.3,25.1,20.9,40133.6,4.8,31.4,6.2
AMED,2/16/2024,3442.2,42.2,24.3,3046,2.9,1150.3,1.4
AMEH,2/16/2024,2205.5,21.9,18.7,2243.9,3.8,53.6,1.7
AMG,2/16/2024,6836.2,3.9,3.9,5298.5,1.5,4.2,2.5
AMGN,2/16/2024,205709.2,19.2,13.9,152040.2,24.4,22.6,5.4
AMH,2/16/2024,16598,31.2,16.8,12465.6,1.8,33.1,7.8
AMIX,2/16/2024,70.3,-35.3,-35.3,70.1,-12.5,-35.2,
AMK,2/16/2024,2284.4,13.6,11.3,2392.1,1.9,21,3.3
AMKR,2/16/2024,7835.8,14,6.6,7375.5,1.9,18.1,1.1
AMLI,2/16/2024,156.9,-3.6,-3.7,169.8,1,-3.9,
AMLX,2/16/2024,941,165.2,141.2,1072.2,2.6,584,3.6
AMN,2/16/2024,3171.2,7.5,5.5,2331.2,2.9,8.3,0.6
AMNB,2/16/2024,582.9,15.3,14.1,484.7,1.5,16.1,4.6
AMP,2/16/2024,37565.8,10.3,10.7,40255.8,10.5,15.1,2.7
AMPE,2/16/2024,-5,0.6,0.6,1.4,0.3,-0.2,
AMPG,2/16/2024,17.5,-6.1,-9.7,18.9,0.7,-6.7,1.2
AMPH,2/16/2024,2991.4,15.9,13.8,2589.9,4.4,19.1,4.3
AMPL,2/16/2024,1444.6,-15.2,-17,1678.6,5.8,-17.5,6.2
AMPS,2/16/2024,2179.4,18,12.9,1147.1,2.5,13.4,7.8
AMPX,2/16/2024,307.2,-9.3,-10.1,352.7,5.4,-10.7,59.8
AMPY,2/16/2024,381.9,2.7,2.3,242,0.7,0.7,0.7
AMR,2/16/2024,4676.9,5.4,4.8,4962.5,-20.5,6.5,1.5
AMRC,2/16/2024,2519.9,77.8,26.9,1200.9,1.4,25.7,0.9
AMRK,2/16/2024,1383.1,7.6,7.1,591.7,1,5.4,0.1
AMRN,2/16/2024,231.6,-3.6,-3.7,494,0.9,-9.4,1.5
AMRX,2/16/2024,4517.7,22,10.3,1808.6,5.5,175.2,0.8
AMS,2/16/2024,15.8,8.1,2.1,17,0.8,38.5,0.8
AMSC,2/16/2024,415.8,-25.9,-36.4,438.9,5.5,-26.8,3.2
AMSF,2/16/2024,904.7,11.4,11.2,963.9,2.9,15.1,3.1
AMST,2/16/2024,2.6,-0.7,-0.8,6.3,1.4,-1.7,14.6
AMSWA,2/16/2024,279.2,20.4,16.6,373.1,2.7,33.8,3.1
AMT,2/16/2024,131818.1,61.1,24.9,87233.5,19.2,122.1,7.9
AMTB,2/16/2024,1314.9,15.2,14,755.1,1,11,2.2
AMTD,2/16/2024,74.3,0.5,0.5,139.5,0.1,1,0.6
AMTX,2/16/2024,423,-7.1,-8.1,138.1,-0.7,-3.2,0.8
AMWD,2/16/2024,1861.8,11.8,6.7,1484.2,1.7,13.1,0.8
AMWL,2/16/2024,9.2,0,0,370.2,0.8,-0.5,1.4
AMX,2/16/2024,94211.3,10.4,5.3,60283.6,2.9,14.3,1.3
AMZN,2/16/2024,1822989,44.8,20.4,1760765,8.7,57.9,3.1
ANAB,2/16/2024,632.4,-4.3,-4.3,640.5,5.3,-4.3,42.8
ANDE,2/16/2024,2056.6,14.1,7.5,1830.4,1.5,31,0.1
ANEB,2/16/2024,67.3,-6.4,-6.4,73.9,11.4,-7,
ANET,2/16/2024,79893.2,33,31.8,81831.8,11.3,39.2,14
ANF,2/16/2024,6546.5,19.1,13.6,6094,7,29.3,1.5
ANGH,2/16/2024,24.2,-1.1,-1.4,25.2,-1.5,-1.1,0.5
ANGI,2/16/2024,1645.4,-20.6,33.3,1516.4,1.5,-17.1,1
ANGO,2/16/2024,185.8,-22.4,8.2,246.7,0.6,-17.5,0.7
ANIK,2/16/2024,311.1,-10.4,-23.2,354.5,1.3,-14.4,2.2
ANIP,2/16/2024,1313.3,31.3,12.8,1220.5,2.8,103.8,2.7
ANIX,2/16/2024,127.7,-13,-13.1,128.4,5.3,-13.1,611.4
ANNX,2/16/2024,170.4,-1.2,-1.2,273.1,1.7,-1.9,
ANRO,2/16/2024,342.7,-12.4,-12.6,384.2,-6.3,-13.9,
ANSC,2/16/2024,437.6,-437600,-437600,437.3,29153.3,-437300,
ANSS,2/16/2024,28869.5,50.9,40.2,28655,5.7,59.3,13.3
ANTE,2/16/2024,51.5,-3.5,-5.4,10.9,1.6,-0.7,11.9
ANTX,2/16/2024,75.7,-1.3,-1.3,108.3,0.8,-1.8,
ANVS,2/16/2024,100.6,-2.7,-2.7,107,16.1,-2.9,
ANY,2/16/2024,31.2,-0.2,-0.3,32,1,-0.2,2
AOGO,2/16/2024,48.4,24.6,24.6,47,-8,28.8,
AOMR,2/16/2024,1780.6,-613.6,-613.6,276.4,1.2,-75,16.2
AONC,2/16/2024,275.4,114,11.5,197.2,-0.6,-81.5,0.1
AORT,2/16/2024,1076.1,160.4,29.4,772.1,2.8,-31.5,2.3
AOS,2/16/2024,11604.2,15.6,14.1,11788.9,6.4,21.2,3.1
AOSL,2/16/2024,545.2,-43.2,14.8,633.7,0.7,-37,1
AOUT,2/16/2024,125.4,-11.8,22.8,109.1,0.6,-10.2,0.6
AP,2/16/2024,176.1,15.1,6.1,49.5,0.5,20.4,0.1
APA,2/16/2024,15172.1,4.9,3.3,9683.1,9,6.3,1.1
APAC,2/16/2024,81.7,46.6,46.6,79.2,-5.9,45.2,
APAM,2/16/2024,3448,12,11.6,3368.8,11.3,16,3.5
APCA,2/16/2024,176.8,46.6,46.6,174.9,-15.3,46.1,
APCX,2/16/2024,36.3,-1.9,-2,36.4,44.6,-1.8,77.3
APD,2/16/2024,61209.2,19.9,13.7,50429,3.4,21.6,4.1
APDN,2/16/2024,7.9,-1.1,-1.3,10.9,2.6,-1.5,1.2
APEI,2/16/2024,252.4,-3.6,-6.5,201.7,0.7,-2.8,0.3
APG,2/16/2024,10604.7,29.3,14.3,8225.7,3.7,77.6,1.2
APGE,2/16/2024,1631.9,-41,-41,1820.2,4.4,-45.8,
APH,2/16/2024,65973.8,25.6,22.1,63296.7,7.6,32.8,5
API,2/16/2024,246.6,-2.1,-2.3,270.5,0.4,-2.3,1.9
