,1,2,3,4,5
1,1,0.36,0.309,0.089,-0.469
2,0.36,1,0.615,-0.095,-0.165
3,0.309,0.615,1,0.454,-0.438
4,0.089,-0.095,0.454,1,-0.49
5,-0.469,-0.165,-0.438,-0.49,1
