,GLD,IEF,LQD,SPY,UUP
GLD,1.0,0.36,0.31,0.09,-0.47
IEF,0.36,1.0,0.62,-0.1,-0.16
LQD,0.31,0.62,1.0,0.45,-0.44
SPY,0.09,-0.1,0.45,1.0,-0.49
UUP,-0.47,-0.16,-0.44,-0.49,1.0
