, USMkt, DevMkt, EmergMkt
mean,0.0083,0.0049,0.0075
stdev,.0429,.0475,.0613
USMkt,1.0000,0.7554,0.7200
DevMkt,0.7554,1.0000,0.7640
EmergMkt,0.7200,0.7640,1.0000
